id,sailing,departure,check_1_index_page_reread,check_2_official_deep_link,check_3_price,check_4_scope,check_5_window,result
SD-12,Serenade of the Seas — Ensenada,2027-02-18,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-18feb2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-san-diego-on-serenade/SR03SAN-2087072271?sail-date=2027-02-18&currency=USD,"CHANGED — was $288pp, now $335pp (price_increase) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,PRICE CHANGED · trip total for 2 $982
SD-13,Serenade of the Seas — Catalina & Ensenada,2027-02-21,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-21feb2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-san-diego-on-serenade/SR04SAN-3051025153?sail-date=2027-02-21&currency=USD,"CHANGED — was $342pp, now $329pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,PRICE CHANGED · trip total for 2 $970
SD-14,Serenade of the Seas — Ensenada,2027-02-25,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-25feb2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-san-diego-on-serenade/SR03SAN-2087072271?sail-date=2027-02-25&currency=USD,"CONFIRMED — $335pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,CONFIRMED + VERIFIED · trip total for 2 $982
SD-15,Serenade of the Seas — Catalina & Ensenada,2027-03-07,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-07mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-san-diego-on-serenade/SR04SAN-3051025153?sail-date=2027-03-07&currency=USD,"CHANGED — was $359pp, now $349pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,010"
SD-16,Serenade of the Seas — Ensenada,2027-03-11,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-11mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-san-diego-on-serenade/SR03SAN-2087072271?sail-date=2027-03-11&currency=USD,"CHANGED — was $349pp, now $335pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,PRICE CHANGED · trip total for 2 $982
SD-17,Serenade of the Seas — Catalina & Ensenada,2027-03-14,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-14mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-san-diego-on-serenade/SR04SAN-3051025153?sail-date=2027-03-14&currency=USD,"CHANGED — was $363pp, now $349pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,010"
SD-18,Serenade of the Seas — Ensenada,2027-03-18,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-18mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-san-diego-on-serenade/SR03SAN-2087072271?sail-date=2027-03-18&currency=USD,"CONFIRMED — $335pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,CONFIRMED + VERIFIED · trip total for 2 $982
SD-19,Serenade of the Seas — Catalina & Ensenada,2027-03-21,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-21mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-san-diego-on-serenade/SR04SAN-3051025153?sail-date=2027-03-21&currency=USD,"CHANGED — was $359pp, now $346pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,004"
SD-20,Serenade of the Seas — Ensenada,2027-03-25,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-25mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-san-diego-on-serenade/SR03SAN-2087072271?sail-date=2027-03-25&currency=USD,"CONFIRMED — $335pp unchanged (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,CONFIRMED + VERIFIED · trip total for 2 $982
SD-21,"Serenade of the Seas — 7-Night Ensenada, Cabo & La Paz",2027-03-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonserenadeoftheseas-28mar2027.html,"PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-ensenada,-cabo-la-paz-from-san-diego-on-serenade/SR07SAN-394531984?sail-date=2027-03-28&currency=USD","CHANGED — was $529pp, now $649pp (price_increase) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CORRECTED + VERIFIED · trip total for 2 $1,610"
SD-22,Koningsdam — Baja Peninsula,2027-03-20,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonkoningsdam-20mar2027.html,PASS — official voyage deep link: https://www.hollandamerica.com/en/us/find-a-cruise/m7s07a/k717,"CHANGED — was $1,044pp, now $999pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $2,310"
SD-23,Koningsdam — Mexican Riviera & Baja Peninsula,2027-03-20,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonkoningsdam-20mar2027.html,PASS — official voyage deep link: https://www.hollandamerica.com/en/us/find-a-cruise/m7s14a/k717b,"CHANGED — was $1,974pp, now $1,944pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $4,200"
SD-24,Koningsdam — 18-night Baja & Pacific Coast,2027-03-20,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonkoningsdam-20mar2027.html,PASS — official voyage deep link: https://www.hollandamerica.com/en/us/find-a-cruise/m7s18a/k717a,"CHANGED — was $2,059pp, now $1,989pp (price_drop) (interior per person, USD)","PASS — departs San Diego, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $4,290"
LA-25,Voyager of the Seas — Ensenada,2027-02-15,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-15feb2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-ensenada-from-los-angeles-on-voyager/VY04LAX-3628863837?sail-date=2027-02-15&currency=USD,"ADDED — published USD snapshot $377pp replaces prior unpriced listing (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"RESOLVED + VERIFIED · trip total for 2 $1,162"
LA-26,Carnival Panorama — Mexican Riviera,2027-02-21,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-21feb2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/6-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/6-days/mrk/?sailDate=02212027,"CHANGED — was $348pp, now $315pp (price_drop) (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,038"
LA-27,Carnival Panorama — Mexican Riviera,2027-02-27,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-27feb2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/8-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/8-days/mry/?sailDate=02272027,"CONFIRMED — $493pp unchanged (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,394"
LA-28,Carnival Radiance — Baja/Mexico,2027-02-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-28feb2027.html,PASS — official voyage deep link: https://www.carnival.com/itinerary/4-day-baja-mexico-cruise/long-beach-los-angeles/radiance/4-days/lxn/?sailDate=02282027,"CHANGED — was $394pp, now $300pp (price_drop) (interior per person, USD)","PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,008"
LA-29,Royal Caribbean Ovation — Ensenada,2027-02-19,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-19feb2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-los-angeles-on-ovation/OV03LAX-1965470999?sail-date=2027-02-19&currency=USD,"CHANGED — was $394pp, now $345pp (price_drop) (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,098"
LA-30,Royal Caribbean Ovation — Catalina & Ensenada,2027-02-22,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonovationoftheseas-22feb2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-los-angeles-on-ovation/OV04LAX-1005460505?sail-date=2027-02-22&currency=USD,"CHANGED — was $436pp, now $365pp (price_drop) (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,138"
LA-31,Norwegian Encore — Mexican Riviera,2027-02-21,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonnorwegianencore-21feb2027.html,PASS — official voyage deep link: https://www.ncl.com/vacation-builder?itineraryCode=ENCORE7LAXCSLMZTPVRLAX&packageId=23338094&stateroomTypeCode=INSIDE&,"CHANGED — was $699pp, now $669pp (price_drop) (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,746"
LA-32,Norwegian Encore — Mexican Riviera,2027-02-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonnorwegianencore-28feb2027.html,PASS — official voyage deep link: https://www.ncl.com/vacation-builder?itineraryCode=ENCORE7LAXCSLMZTPVRLAX&packageId=23338095&stateroomTypeCode=INSIDE&,"CHANGED — was $639pp, now $699pp (price_increase) (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,806"
LA-33,Norwegian Encore — Mexican Riviera,2027-03-07,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonnorwegianencore-07mar2027.html,PASS — official voyage deep link: https://www.ncl.com/vacation-builder?itineraryCode=ENCORE7LAXCSLMZTPVRLAX&packageId=23338096&stateroomTypeCode=INSIDE&,"CHANGED — was $639pp, now $689pp (price_increase) (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,786"
LA-34,Norwegian Encore — Mexican Riviera,2027-03-14,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonnorwegianencore-14mar2027.html,PASS — official voyage deep link: https://www.ncl.com/vacation-builder?itineraryCode=ENCORE7LAXCSLMZTPVRLAX&packageId=23338097&stateroomTypeCode=INSIDE&,"CHANGED — was $689pp, now $739pp (price_increase) (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,886"
LA-35,Norwegian Encore — Mexican Riviera,2027-03-21,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonnorwegianencore-21mar2027.html,PASS — official voyage deep link: https://www.ncl.com/vacation-builder?itineraryCode=ENCORE7LAXCSLMZTPVRLAX&packageId=23338098&stateroomTypeCode=INSIDE&,"CHANGED — was $709pp, now $719pp (price_increase) (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,846"
LA-36,Norwegian Encore — Mexican Riviera,2027-03-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonnorwegianencore-28mar2027.html,PASS — official voyage deep link: https://www.ncl.com/vacation-builder?itineraryCode=ENCORE7LAXCSLMZTPVRLAX&packageId=23338099&stateroomTypeCode=INSIDE&,"CHANGED — was $739pp, now $749pp (price_increase) (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $1,906"
LA-43,Emerald Princess — California Coast / Hawaii,2027-03-10,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-44,Emerald Princess — 7-Night Classic California Coast,2027-03-14,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonemeraldprincess-14mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=E706,"ADDED — published USD snapshot $549pp replaces prior unpriced listing (interior per person, USD)","PASS — departs Los Angeles, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"RESOLVED + VERIFIED · trip total for 2 $1,506"
LA-45,Emerald Princess — California Coast / Hawaii,2027-03-17,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-46,Emerald Princess — California Coast / Hawaii,2027-03-19,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-47,Emerald Princess — California Coast / Hawaii,2027-03-24,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-48,Emerald Princess — California Coast / Hawaii,2027-03-31,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-51,Island Princess — 16-Night Panama Canal Ocean to Ocean (ends Fort Lauderdale),2027-03-02,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonislandprincess-02mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=2705,"ADDED — published USD snapshot $1,879pp replaces prior unpriced listing (interior per person, USD)","PASS — departs Los Angeles, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CORRECTED + VERIFIED · trip total for 2 $4,288"
LA-52,Carnival Radiance — Baja Mexico,2027-03-05,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-53,Carnival Panorama — Mexican Riviera,2027-03-12,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-54,Carnival Radiance — Baja Mexico,2027-03-19,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-55,Carnival Panorama — Mexican Riviera,2027-03-26,NO MATCH — re-checked port calendar: no indexed sailing on this date,n/a — no voyage to match,n/a,scope unchanged,out of verified population,STILL FLAGGED — preserved for manual review
LA-56,Emerald Princess — California Coast,2027-03-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonemeraldprincess-28mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=E708,"ADDED — published USD snapshot $539pp replaces prior unpriced listing (interior per person, USD)","PASS — departs Los Angeles, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"RESOLVED + VERIFIED · trip total for 2 $1,486"
SF-51,Ruby Princess — Hawaii & Mexico,2027-02-28,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonrubyprincess-28feb2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=R705,"CHANGED — was $1,779pp, now $1,704pp (price_drop) (interior per person, USD)","PASS — departs San Francisco, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $3,408"
SF-52,Ruby Princess — Hawaii & Mexico,2027-03-16,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonrubyprincess-16mar2027.html,PASS — official voyage deep link: https://www.princess.com/itinerary-details/?voyageCode=R706,"CHANGED — was $1,339pp, now $1,264pp (price_drop) (interior per person, USD)","PASS — departs San Francisco, CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"PRICE CHANGED · trip total for 2 $2,528"
LA-57,"Voyager of the Seas — 7-Night Ensenada, Cabo & Mazatlán",2027-02-19,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-19feb2027.html,"PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-ensenada,-cabo-mazatlan-from-los-angeles-on-voyager/VY07LAX-2626294331?sail-date=2027-02-19&currency=USD","CONFIRMED — $478pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,364"
LA-58,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-02-26,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-26feb2027.html,"PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo,-vallarta-mazatlan-from-los-angeles-on-voyager/VY07LAX-1182818524?sail-date=2027-02-26&currency=USD","CONFIRMED — $509pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,426"
LA-59,"Voyager of the Seas — 7-Night Ensenada, Cabo & Mazatlán",2027-03-05,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-05mar2027.html,"PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-ensenada,-cabo-mazatlan-from-los-angeles-on-voyager/VY07LAX-2626294331?sail-date=2027-03-05&currency=USD","CONFIRMED — $525pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,458"
LA-60,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-03-12,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-12mar2027.html,"PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo,-vallarta-mazatlan-from-los-angeles-on-voyager/VY07LAX-1182818524?sail-date=2027-03-12&currency=USD","CONFIRMED — $609pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,626"
LA-61,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-03-19,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-19mar2027.html,"PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo,-vallarta-mazatlan-from-los-angeles-on-voyager/VY07LAX-1182818524?sail-date=2027-03-19&currency=USD","CONFIRMED — $620pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,648"
LA-62,Voyager of the Seas — 6-Night Cabo Overnight & Catalina,2027-03-26,PASS — re-read date/duration/itinerary/price from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-26mar2027.html,PASS — official voyage deep link: https://www.royalcaribbean.com/cruises/itinerary/6-night-cabo-overnight-catalina-from-los-angeles-on-voyager/VY06LAX-1729758938?sail-date=2027-03-26&currency=USD,"CONFIRMED — $638pp unchanged (interior per person, USD)","PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,"CONFIRMED + VERIFIED · trip total for 2 $1,684"
