id,sailing,departure,check_1_schedule_index,check_2_official_deep_link,check_3_price_read,check_4_port_sequence,check_5_scope_window,result
SD-14,Serenade of the Seas — Ensenada,2027-02-25,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $335 pp USD published (official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-15,Serenade of the Seas — Catalina & Ensenada,2027-03-07,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $349 pp USD published (price UPDATED $718 → $698 (pp $359 → $349); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-16,Serenade of the Seas — Ensenada,2027-03-11,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $335 pp USD published (price UPDATED $698 → $670 (pp $349 → $335); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-17,Serenade of the Seas — Catalina & Ensenada,2027-03-14,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $349 pp USD published (price UPDATED $726 → $698 (pp $363 → $349); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-18,Serenade of the Seas — Ensenada,2027-03-18,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $335 pp USD published (official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-19,Serenade of the Seas — Catalina & Ensenada,2027-03-21,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $346 pp USD published (price UPDATED $718 → $692 (pp $359 → $346); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-20,Serenade of the Seas — Ensenada,2027-03-25,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $335 pp USD published (official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-21,"Serenade of the Seas — 7-Night Ensenada, Cabo & La Paz",2027-03-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $649 pp USD published (price UPDATED $1,058 → $1,298 (pp $529 → $649); stops CORRECTED: Ensenada; Cabo San Lucas; Mazatlán; San Diego → Ensenada; La Paz; Cabo San Lucas; San Diego; official deep link upgraded (generic → sailing-specific))",CORRECTED — port sequence updated to index,PASS,IN WINDOW VERIFIED
SD-22,Koningsdam — Baja Peninsula,2027-03-20,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $999 pp USD published (price UPDATED $2,088 → $1,998 (pp $1,044 → $999); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-23,Koningsdam — Mexican Riviera & Baja Peninsula,2027-03-20,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,944 pp USD published (price UPDATED $3,948 → $3,888 (pp $1,974 → $1,944); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-24,Koningsdam — 18-night Baja & Pacific Coast,2027-03-20,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,989 pp USD published (price UPDATED $4,118 → $3,978 (pp $2,059 → $1,989); stops CORRECTED: Cabo San Lucas; La Paz; Mazatlán; Puerto Vallarta; San Francisco; Vancouver → Cabo San Lucas; La Paz; Mazatlán; Puerto Vallarta; San Diego; Victoria; Vancouver; flight CORRECTED: SFO → SAN → SFO ($312 planning estimate) → SFO → SAN one-way; YVR → SFO return ($570 planning estimate); official deep link upgraded (generic → sailing-specific))",CORRECTED — port sequence updated to index,PASS,IN WINDOW VERIFIED
LA-25,Voyager of the Seas — 4-Night Ensenada,2027-02-15,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $377 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-26,Carnival Panorama — Mexican Riviera,2027-02-21,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $315 pp USD published (price UPDATED $696 → $630 (pp $348 → $315); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-27,Carnival Panorama — Mexican Riviera,2027-02-27,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $493 pp USD published (official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-28,Carnival Radiance — Baja/Mexico,2027-02-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $300 pp USD published (price UPDATED $788 → $600 (pp $394 → $300); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-29,Royal Caribbean Ovation — Ensenada,2027-02-19,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $345 pp USD published (price UPDATED $788 → $690 (pp $394 → $345); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-30,Royal Caribbean Ovation — Catalina & Ensenada,2027-02-22,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $365 pp USD published (price UPDATED $872 → $730 (pp $436 → $365); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-31,Norwegian Encore — Mexican Riviera,2027-02-21,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $669 pp USD published (price UPDATED $1,398 → $1,338 (pp $699 → $669); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-32,Norwegian Encore — Mexican Riviera,2027-02-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $699 pp USD published (price UPDATED $1,278 → $1,398 (pp $639 → $699); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-33,Norwegian Encore — Mexican Riviera,2027-03-07,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $689 pp USD published (price UPDATED $1,278 → $1,378 (pp $639 → $689); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-34,Norwegian Encore — Mexican Riviera,2027-03-14,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $739 pp USD published (price UPDATED $1,378 → $1,478 (pp $689 → $739); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-35,Norwegian Encore — Mexican Riviera,2027-03-21,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $719 pp USD published (price UPDATED $1,418 → $1,438 (pp $709 → $719); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-36,Norwegian Encore — Mexican Riviera,2027-03-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $749 pp USD published (price UPDATED $1,478 → $1,498 (pp $739 → $749); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-44,Emerald Princess — 7-Night Classic California Coast,2027-03-14,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $549 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-51,Island Princess — 16-Night Panama Canal Ocean-to-Ocean (ends Fort Lauderdale),2027-03-02,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,879 pp USD published (unchanged from prior snapshot)",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-56,Emerald Princess — 7-Night Classic California Coast,2027-03-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $539 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-49,Disney Wonder — Baja,2027-02-12,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,950 pp USD published (official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,n/a — out-of-window audit row,OUT OF WINDOW (audit-only)
SD-50,Holland America Koningsdam — 35-day Legendary Hawaii,2027-02-13,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,n/a — price not published (unchanged from prior snapshot),PASS — port sequence matches index,n/a — out-of-window audit row,OUT OF WINDOW (audit-only)
SF-51,Ruby Princess — Hawaii & Mexico,2027-02-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,704 pp USD published (price UPDATED $3,558 → $3,408 (pp $1,779 → $1,704); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SF-52,Ruby Princess — Hawaii & Mexico,2027-03-16,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,264 pp USD published (price UPDATED $2,678 → $2,528 (pp $1,339 → $1,264); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-57,"Voyager of the Seas — 7-Night Ensenada, Cabo & Mazatlán",2027-02-19,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $478 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-58,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-02-26,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $509 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-59,"Voyager of the Seas — 7-Night Ensenada, Cabo & Mazatlán",2027-03-05,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $525 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-60,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-03-12,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $609 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-61,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-03-19,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $620 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-62,Voyager of the Seas — 6-Night Cabo Overnight & Catalina,2027-03-26,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $638 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-63,"Ovation of the Seas — 7-Night Cabo Overnight, Catalina & Ensenada",2027-02-26,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $650 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-64,Ovation of the Seas — 3-Night Ensenada,2027-03-05,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $325 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-65,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-08,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $366 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-66,"Ovation of the Seas — 7-Night Cabo Overnight, Catalina & Ensenada",2027-03-12,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $706 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-67,Ovation of the Seas — 3-Night Ensenada,2027-03-19,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $349 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-68,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-22,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $428 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-69,Ovation of the Seas — 3-Night Ensenada,2027-03-26,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $488 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-70,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-29,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $439 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-71,Discovery Princess — 7-Night Mexican Riviera,2027-02-20,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $599 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-72,Discovery Princess — 7-Night Mexican Riviera,2027-02-27,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $549 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-73,Discovery Princess — 7-Night Mexican Riviera,2027-03-06,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $749 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-74,Discovery Princess — 7-Night Mexican Riviera,2027-03-13,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $579 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-75,Discovery Princess — 7-Night Mexican Riviera,2027-03-20,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $649 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-76,Discovery Princess — 7-Night Mexican Riviera,2027-03-27,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $554 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-77,Emerald Princess — 16-Night Hawaiian Islands,2027-02-26,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,189 pp USD published (unchanged from prior snapshot)",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-78,Emerald Princess — 7-Night Classic California Coast,2027-03-21,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $529 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-79,Carnival Panorama — 6-Day Mexican Riviera,2027-03-07,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $334 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-80,Carnival Panorama — 8-Day Mexican Riviera,2027-03-13,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $593 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-81,Carnival Panorama — 6-Day Mexican Riviera,2027-03-21,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $469 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-82,Carnival Panorama — 8-Day Mexican Riviera,2027-03-27,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $703 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-83,Carnival Radiance — 5-Day Mexican Riviera,2027-03-04,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $392 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-84,Carnival Radiance — 5-Day Mexican Riviera,2027-03-09,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $401 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-85,Carnival Radiance — 14-Day Hawaii,2027-03-14,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,278 pp USD published (unchanged from prior snapshot)",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
LA-86,Carnival Radiance — 4-Day Baja Mexico,2027-03-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $485 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-51,"Serenade of the Seas — 7-Night Ensenada, Cabo & Mazatlán",2027-02-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $519 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-52,Disney Wonder — 4-Night Baja,2027-03-08,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,874 pp USD published (unchanged from prior snapshot)",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-53,Koningsdam — 7-Night Mexican Riviera,2027-03-27,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,149 pp USD published (unchanged from prior snapshot)",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-54,Koningsdam — 11-Night Mexican Riviera & Pacific Coast (ends Vancouver),2027-03-27,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,199 pp USD published (unchanged from prior snapshot)",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-55,"Koningsdam — 28-Night Mexico Riviera, Pacific Coastal & Circle Hawaii (ends Vancouver)",2027-03-27,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $3,184 pp USD published (unchanged from prior snapshot)",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-56,Zaandam — 7-Night Mexican Riviera,2027-03-28,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $899 pp USD published (unchanged from prior snapshot),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
